id,name,year,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,avg_intercept_y_vs_batter,competitive_swings,xwobacon,avg_swing_length
519317,"Stanton, Giancarlo",2024,R,81.21983696,26.15572599,8.688617795,-2.71307955,27.22555763,714,0.489,8.6
519317,"Stanton, Giancarlo",2023,R,80.98180982,27.70528451,8.370458148,-0.056990584,26.19068416,386,0.429,8.5
519317,"Stanton, Giancarlo",2025,R,80.54076977,27.64161333,10.77061909,-5.450706774,27.02321855,304,0.524,8.8
605204,"Davis, J.D.",2023,R,72.22338932,35.21165865,7.731935604,9.874447943,21.44464283,412,0.405,7.3
696285,"Young, Jacob",2024,R,68.17035116,31.04412306,6.620024926,5.489408507,27.20681658,707,0.319,6.9
650859,"Rengifo, Luis",2024,R,69.66896291,33.44793286,9.541680219,0.829810288,28.75839216,516,0.316,7.2
665833,"Cruz, Oneil",2025,L,78.74099682,33.4790987,9.485914726,-7.771755431,35.54951133,711,0.47,7.8
663457,"Nootbaar, Lars",2023,L,72.2205579,30.19534385,9.101134346,-1.891563073,31.12061258,300,0.39,7
665833,"Cruz, Oneil",2024,L,78.53322484,32.94665269,8.373715996,-6.744362184,35.28756291,879,0.462,7.7
701538,"Merrill, Jackson",2024,L,72.18278807,37.44129189,6.249468377,0.780279806,26.02086009,1034,0.434,7.5
691406,"Caminero, Junior",2025,R,78.35782408,26.36158659,8.014167584,-4.963082205,35.44812836,932,0.42,8.4
669003,"Mitchell, Garrett",2024,L,75.70105933,33.56675089,10.65284456,4.303235881,29.26938403,341,0.411,7.4
656180,"Adams, Riley",2025,R,78.19178749,34.64241909,8.735374336,-0.637922897,30.59961384,395,0.436,7.8
686681,"Massey, Michael",2024,L,70.87480954,32.45852527,12.85892497,-6.987066535,32.63318256,611,0.347,7.2
691023,"Walker, Jordan",2025,R,78.0300335,31.47965479,5.962820127,-5.797701952,30.42585506,566,0.384,8.2
687597,"Beck, Jordan",2024,R,71.36237828,32.59541752,10.50848519,-1.416135292,28.57693075,309,0.376,7.7
678877,"Noel, Jhonkensy",2024,R,77.99089491,29.96598917,9.795840662,-13.07918496,39.36906064,348,0.439,7.7
660707,"Montero, Elehuris",2023,R,75.28699697,35.39883493,9.124300492,-13.96461379,36.71599946,350,0.362,7.7
664774,"Wade Jr., LaMonte",2024,L,72.43894018,32.1714398,9.319271425,-1.190283629,34.33106653,566,0.401,6.8
543807,"Springer, George",2024,R,71.91466408,33.83738158,10.82717008,0.96911582,21.58037083,947,0.351,7.4
678877,"Noel, Jhonkensy",2025,R,77.68032689,29.57603503,7.071504803,-3.569052116,34.675493,219,0.247,7.6
542932,"Berti, Jon",2025,R,72.24651705,29.14631278,2.28080176,9.135116958,22.77264035,156,0.334,7.4
666176,"Adell, Jo",2025,R,77.59565959,33.45425113,7.41027195,-5.331242702,25.77551833,872,0.492,7.7
455117,"Maldonado, Martín",2025,R,71.18774023,31.79724441,15.05236602,-7.668924662,36.46357919,215,0.392,7.6
656941,"Schwarber, Kyle",2024,L,77.51612434,29.30397013,13.05259932,-4.499895612,31.26030629,959,0.489,7.7
701762,"Kurtz, Nick",2025,L,77.40880036,38.8926016,13.12828243,2.280731262,24.53617279,590,0.52,7.7
650391,"Jiménez, Eloy",2023,R,75.23456183,24.7184863,5.958040632,-4.079297517,29.19751833,366,0.364,7.3
670242,"Wallner, Matt",2023,L,77.40293376,34.24017244,13.35492955,-1.127491243,35.37342043,386,0.499,7.5
669701,"Smith, Josh",2024,L,70.1535103,37.50159034,13.07294257,-5.092600767,34.28989594,943,0.333,6.8
660271,"Ohtani, Shohei",2023,L,77.38265314,35.27162391,12.61362028,-2.032903794,27.52291685,322,0.543,7.9
673548,"Suzuki, Seiya",2023,R,72.43057383,31.51483025,4.681533917,1.38832481,30.65861143,441,0.425,7.1
647351,"Toro, Abraham",2025,R,69.56522141,31.95032326,11.18557177,-2.761831462,35.4813212,482,0.331,7.6
691023,"Walker, Jordan",2024,R,77.30600845,32.23750516,5.467727626,-10.44006249,33.95964451,264,0.355,8.2
660670,"Acuña Jr., Ronald",2023,R,77.30299002,34.58228611,6.76488761,5.193785223,30.59987927,481,0.493,7.4
664056,"Bader, Harrison",2024,R,71.16863121,25.12780525,11.33527982,-5.465868325,33.55901464,644,0.348,7.1
670242,"Wallner, Matt",2024,L,77.2917794,32.16559738,11.89474349,-3.306596984,36.03752259,415,0.518,7.3
691406,"Caminero, Junior",2024,R,77.23612011,25.3994379,5.289983457,-2.608121029,34.18453334,264,0.36,8.3
656941,"Schwarber, Kyle",2025,L,77.19846945,30.34979035,14.50058186,-5.985620567,33.34971784,942,0.545,7.5
600869,"Candelario, Jeimer",2023,R,69.30937846,34.95640624,12.00135559,-2.064753765,29.80686721,325,0.359,7.7
677594,"Rodríguez, Julio",2023,R,77.17191602,33.44104137,7.823290737,-4.647368278,35.41155004,515,0.431,8
592273,"Drury, Brandon",2023,R,71.67059442,30.96563537,9.497212854,-1.258751255,32.73530149,378,0.405,7.5
592450,"Judge, Aaron",2024,R,77.14684953,39.80010682,14.37158599,-4.515250961,29.89930314,1010,0.623,8.2
624424,"Conforto, Michael",2025,L,73.65064471,32.33681222,10.59787882,0.283431482,28.42490176,680,0.395,7.3
656941,"Schwarber, Kyle",2023,L,77.10034883,29.66072095,13.09220565,-7.32914396,31.9248334,429,0.46,7.9
671289,"Freeman, Tyler",2023,R,72.30339513,33.25330244,2.968319302,-1.082037872,30.55238071,160,0.353,7.4
695506,"Caglianone, Jac",2025,L,77.07192585,28.12297709,7.744456581,-3.696182501,32.04178399,275,0.395,7.6
666464,"Encarnacion, Jerar",2024,R,76.97863502,35.98042269,8.848899007,4.209745746,29.3171252,213,0.482,7.8
695657,"Montgomery, Colson",2025,L,76.95396886,33.11749443,11.90727021,-8.817572243,34.66656064,316,0.466,7.9
592450,"Judge, Aaron",2025,R,76.89151526,38.4936907,14.48075081,-6.33655242,30.76516798,868,0.595,8.1
660670,"Acuña Jr., Ronald",2024,R,76.82582554,34.91874569,10.65638483,4.583329055,31.1142057,323,0.41,7.6
677588,"Tena, José",2025,L,70.7967967,35.05671018,3.582901949,2.38425972,30.73957348,264,0.357,6.8
592518,"Machado, Manny",2023,R,76.72937931,25.36655757,6.28116407,-2.882300176,32.00718775,452,0.372,7.7
